timestamp,value
1970-01-01 00:00:00,0.552
1970-01-01 00:00:01,-0.465
1970-01-01 00:00:02,-0.5760000000000001
1970-01-01 00:00:03,0.201
1970-01-01 00:00:04,0.174
1970-01-01 00:00:05,-0.095
1970-01-01 00:00:06,0.006999999999999999
1970-01-01 00:00:07,0.6659999999999999
1970-01-01 00:00:08,-0.7959999999999999
1970-01-01 00:00:09,-0.7170000000000001
1970-01-01 00:00:10,1.078
1970-01-01 00:00:11,0.324
1970-01-01 00:00:12,1.047
1970-01-01 00:00:13,-0.14
1970-01-01 00:00:14,-0.145
1970-01-01 00:00:15,0.40299999999999997
1970-01-01 00:00:16,0.69
1970-01-01 00:00:17,0.429
1970-01-01 00:00:18,-0.10300000000000001
1970-01-01 00:00:19,0.495
1970-01-01 00:00:20,-0.414
1970-01-01 00:00:21,-0.13699999999999998
1970-01-01 00:00:22,0.675
1970-01-01 00:00:23,0.287
1970-01-01 00:00:24,0.42700000000000005
1970-01-01 00:00:25,-0.648
1970-01-01 00:00:26,0.207
1970-01-01 00:00:27,0.7979999999999999
1970-01-01 00:00:28,0.363
1970-01-01 00:00:29,0.293
1970-01-01 00:00:30,-0.649
1970-01-01 00:00:31,-0.067
1970-01-01 00:00:32,0.552
1970-01-01 00:00:33,-0.08900000000000001
1970-01-01 00:00:34,0.26
1970-01-01 00:00:35,-0.359
1970-01-01 00:00:36,1.061
1970-01-01 00:00:37,-0.193
1970-01-01 00:00:38,0.109
1970-01-01 00:00:39,-0.071
1970-01-01 00:00:40,-0.27899999999999997
1970-01-01 00:00:41,-0.12
1970-01-01 00:00:42,-0.49
1970-01-01 00:00:43,-0.449
1970-01-01 00:00:44,1.0959999999999999
1970-01-01 00:00:45,0.163
1970-01-01 00:00:46,0.875
1970-01-01 00:00:47,-0.17600000000000002
1970-01-01 00:00:48,-0.136
1970-01-01 00:00:49,0.35600000000000004
1970-01-01 00:00:50,-0.302
1970-01-01 00:00:51,0.467
1970-01-01 00:00:52,-0.527
1970-01-01 00:00:53,-0.09
1970-01-01 00:00:54,0.524
1970-01-01 00:00:55,-0.8440000000000001
1970-01-01 00:00:56,-0.18899999999999997
1970-01-01 00:00:57,0.8690000000000001
1970-01-01 00:00:58,-0.027000000000000003
1970-01-01 00:00:59,0.1
1970-01-01 00:01:00,-0.667
1970-01-01 00:01:01,-0.221
1970-01-01 00:01:02,-0.679
1970-01-01 00:01:03,-0.23199999999999998
1970-01-01 00:01:04,0.10099999999999999
1970-01-01 00:01:05,-0.447
1970-01-01 00:01:06,1.26
1970-01-01 00:01:07,0.222
1970-01-01 00:01:08,-0.025
1970-01-01 00:01:09,0.12
1970-01-01 00:01:10,-0.158
1970-01-01 00:01:11,-0.018000000000000002
1970-01-01 00:01:12,-0.22399999999999998
1970-01-01 00:01:13,-0.716
1970-01-01 00:01:14,-0.493
1970-01-01 00:01:15,0.05
1970-01-01 00:01:16,-0.809
1970-01-01 00:01:17,0.259
1970-01-01 00:01:18,-0.284
1970-01-01 00:01:19,0.368
1970-01-01 00:01:20,-0.1
1970-01-01 00:01:21,-0.426
1970-01-01 00:01:22,0.34299999999999997
1970-01-01 00:01:23,-0.815
1970-01-01 00:01:24,-0.426
1970-01-01 00:01:25,0.204
1970-01-01 00:01:26,-0.7040000000000001
1970-01-01 00:01:27,0.02
1970-01-01 00:01:28,-0.457
1970-01-01 00:01:29,-0.898
1970-01-01 00:01:30,0.182
1970-01-01 00:01:31,-0.009000000000000001
1970-01-01 00:01:32,-0.355
1970-01-01 00:01:33,0.331
1970-01-01 00:01:34,1.0590000000000002
1970-01-01 00:01:35,-0.39
1970-01-01 00:01:36,-0.184
1970-01-01 00:01:37,0.6709999999999999
1970-01-01 00:01:38,0.235
1970-01-01 00:01:39,1.439
1970-01-01 00:01:40,-0.03
1970-01-01 00:01:41,0.937
1970-01-01 00:01:42,0.317
1970-01-01 00:01:43,0.365
1970-01-01 00:01:44,0.111
1970-01-01 00:01:45,0.6559999999999999
1970-01-01 00:01:46,0.547
1970-01-01 00:01:47,0.614
1970-01-01 00:01:48,-0.15
1970-01-01 00:01:49,-0.06
1970-01-01 00:01:50,0.603
1970-01-01 00:01:51,-0.262
1970-01-01 00:01:52,0.13699999999999998
1970-01-01 00:01:53,0.03
1970-01-01 00:01:54,-1.195
